case_name,google_case_id,judge,published,case_citation
"European Community v. RJR NABISCO, INC.",17763018867800006134,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Chia v. Lynch,3107334266172433984,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. CASTELIN,13658503448418044446,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
MUMBEMBE v. Lynch,17715031245546494042,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
OCHOA-BENITEZ v. Lynch,17048789274276932967,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Bennett v. Britton,10336915302397231201,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Matute v. Lynch,17320498792456005749,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
UMAROV v. Lynch,839568070537726031,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
"CALL CENTER TECHNOLOGIES, INC. v. INTERLINE TRAVEL & TOUR, INC.",5364618173362363649,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Uddin v. Lynch,4848721712701411154,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Burgess v. CITIGROUP INC.,16313074643750538320,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Yang v. Lynch,1497343888299577265,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. KISSI,8914821097921665110,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
KANDERSKAYA v. City of New York,11773989429703148511,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Dussault v. Republic of Argentina,3162973991470023481,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Cancel v. Thompson,984026912020177288,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
DE HANG LI v. Holder,8437758838257839885,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Clements,13509377889220585863,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
"WHITEHAVEN SF, LLC v. Spangler",7151066174911680999,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Schweizer v. SIKORSKY AIRCRAFT CORPORATION,12377251233362156454,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
XIANGQING YE v. Lynch,366763760117218138,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
CITIZENS AGAINST CASINO GAMBLING IN ERIE COUNTY v. Chaudhuri,404475935288597659,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Zhang v. Lynch,11747437860557324360,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Rodriguez v. Anderson,16313464197655066868,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Gonzalez,5079904134637976520,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
THAKURI v. Lynch,2333532630592991376,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
BECERRIL v. Holder,9234069255837135272,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
"IACOVANGELO v. CORRECTIONAL MEDICAL CARE, INC.",18425124094757569432,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
YI DI XIE v. Lynch,7607339895624095468,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Ahmad,10701766663085275302,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Iovino,12241255939045770730,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Yang v. Lynch,15942449018613412026,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
CHUNHUA JIANG v. Lynch,17835768880179723008,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
JANJUA v. Lynch,16841768192127565880,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Stein v. NORTHERN ASSURANCE CO. AM.,5276444548601336831,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
MAQSOOD v. Commissioner of Social Security,5677672795641341945,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Sharma v. Lynch,7035827676161173068,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. CHIBUKO,5864157256348980949,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Johnson,13689426995009531621,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Roy,12978608885334745935,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
"MADISON 92nd STREET ASSOCIATES, LLC v. COURTYARD MANAGEMENT CORPORATION",17862334232475472216,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
NATIONAL LIABILITY & FIRE INSURANCE COMPANY v. ITZKOWITZ,2056123781630060098,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
AN LI v. Lynch,8190739382847656148,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Schumann v. INTERNATIONAL MARINE INSURANCE SERVICES,974890533942481522,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US EX REL. DOE v. THE NEW YORK STATE SCHOOL DISTRICTS,14083941770078095484,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Colella,8795633033498476899,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Shillingford,15015361202773264556,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
AYALA-ZAVALA v. Lynch,6385555149468160811,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Thompson,207153507741509718,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Smith,2408824477590248991,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
